Plant	Long	Lat	Local	Ano	Altura	DAP	N_folhas	Compri_folha	N_pinas	Compri_pina	Largura_pina	F_T	F_Casca	F_Polpa	F_Endo	F_Sem	S_T	S_Casca	S_Polpa	S_Endo	S_Sem	U_T	U_Casca	U_Polpa	U_Endo	U_Sem	OC
91	7548203	775374	1	1	8.3	32.4	23	2.82	37	76.67	2.6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
92	7548194	775375	1	1	6.4	28.2	18	2.66	42	71.67	2.3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
93	7548195	775377	1	1	5.9	26.5	13	2.37	52	64.33	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
94	7548185	775386	1	1	7.9	26.5	22	3.1	44	78.33	2.67	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
95	7548163	775380	1	1	6.9	27.7	14	2.87	42	75	2.83	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
96	7548159	775387	1	1	7.8	32	15	3.3	23	94	3.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
97	7548259	775299	1	1	7.9	24.2	21	2.8	41	73.33	3.1	81.2	20.27	41.98	14.95	2.67	52.57	13.73	24.06	12.53	2.25	28.64	6.54	17.93	2.42	0.42	45.4
98	7548267	775285	1	1	8.5	31	21	2.35	29	69.33	2.67	136.9	23.41	86.05	19.62	6.09	79.32	14.12	44.33	16.1	4.76	57.58	9.29	41.71	3.51	1.33	42.13
99	7548287	775280	1	1	8	36.7	23	2.72	31	78.67	3.2	89.21	16.06	54.26	14.6	3.02	53.93	11.23	27.61	12.39	2.71	35.28	4.83	26.65	2.21	0.32	22.97
100	7548286	775287	1	1	11.2	23.8	18	2.28	42	64.67	2.63	65.82	14.93	33.87	12.06	3.66	43.59	9.83	19.43	10.74	3.58	22.23	5.09	14.44	1.32	0.08	43.27
101	-48.320.861	-22.149.139	2	1	5.8	40.4	25	2.81	31	81	2.5	95.44	20.67	52.12	17.13	4.03	57.72	12.18	27.83	14.53	3.18	37.72	8.49	24.29	2.6	0.85	28.13
102	-48.320.889	-22.148.944	2	1	5.2	33.4	22	2.45	36	67.33	2.13	100.8	19.48	61.43	14.91	4.22	58.56	11.52	30.93	12.57	3.54	42.23	7.96	30.49	2.34	0.68	46.2
103	-48.320.889	-22.148.917	2	1	8.3	33.1	16	2.84	34	73.33	2.73	66.39	17.78	33.71	11.21	2.7	37.18	9.65	16.11	9.29	2.13	29.21	8.12	17.61	1.91	0.57	29.03
104	-48.320.917	-22.148.944	2	1	12	33.1	15	2.56	37	65	2.27	90.81	20.33	51.15	14.88	3.88	48.07	10.36	22.39	12.17	3.15	42.73	9.97	28.76	2.7	0.74	40.03
105	-48.320.861	-22.148.833	2	1	6.5	30.5	16	3.6	39	75.67	2.27	107	24.03	60.12	15.42	4.79	47.46	14.11	16.89	12.89	3.57	59.54	9.92	43.22	2.53	1.22	19.75
106	-48.320.972	-22.148.833	2	1	8	43.6	20	2.9	38	66.33	2.33	82.85	17.27	44.89	14.8	3.51	50.91	10.02	24.92	12.8	3.16	31.94	7.25	19.97	2	0.35	48.63
107	-48.321.083	-22.148.722	2	1	7.4	30.8	14	2.91	30	69	1.97	88.3	18.5	49.96	14.95	4.32	54.1	11.08	27.08	12.45	3.49	34.21	7.42	22.88	2.5	0.83	31.27
108	-48.321.361	-22.148.639	2	1	11.8	32.1	17	2.61	45	69.67	2.13	107.51	23.43	57.08	20.16	4.68	64.2	13.35	30.42	16.81	3.61	43.32	10.08	26.66	3.35	1.06	37.37
109	-48.321.389	-22.148.583	2	1	5.5	38.5	17	2.5	40	74	2.23	116.07	30.26	62.35	18	4.02	63.46	15.78	30.08	14.91	2.69	52.61	14.48	32.27	3.09	1.34	36.1
110	-48.321.472	-22.148.639	2	1	8.3	32.4	14	2.46	38	80	1.97	68.48	20.34	32.28	11.81	2.61	42.18	12.61	17.85	9.79	1.93	26.3	7.73	14.43	2.02	0.69	31.77
111	-48.321.500	-22.148.750	2	1	8.8	42	22	3.9	37	66.67	2.27	87.56	23.04	46.09	14.47	3.68	48.37	12.35	20.83	12.13	3.06	39.19	10.69	25.26	2.34	0.62	40.7
112	-48.321.556	-22.148.722	2	1	11	30.2	20	2.97	40	77.67	2.6	98.92	25.5	48.1	17.63	4.81	51.44	13.57	19.4	14.55	3.92	47.48	11.93	28.7	3.08	0.89	33.4
113	-48.321.556	-22.148.722	2	1	7.9	32.4	17	3.19	35	73.67	2.13	76.79	17.38	36.84	16.18	5.99	45.4	9.61	17.26	13.61	4.92	31.39	7.77	19.58	2.56	1.07	41.17
114	-48.321.639	-22.148.667	2	1	11.8	27.3	21	2.57	37	69.67	1.97	78.08	21.71	39.03	12.05	2.78	46.21	13.04	20.47	10.19	2.52	31.87	8.68	18.56	1.86	0.27	31.6
115	-48.321.556	-22.148.583	2	1	8.3	28	16	2.78	37	76	2.57	85.43	20.34	41.31	18.11	3.48	53.84	12.79	22.39	15.53	3.13	31.6	7.55	18.91	2.59	0.35	38.93
116	-48.321.639	-22.148.556	2	1	7.3	28.6	19	2.88	35	74.67	1.8	99.48	26.49	50.54	16.96	3.69	60.34	16.42	26.99	14.03	2.89	39.14	10.06	23.55	2.93	0.8	27.93
117	-48.321.694	-22.148.611	2	1	7.4	38.1	23	2.8	33	65.67	2.43	71.95	18.01	31.19	16.12	4.52	41.89	9.97	14.79	13.55	3.58	30.06	8.05	16.41	2.57	0.93	36.23
118	-48.321.750	-22.148.556	2	1	5.9	28.9	22	2.8	36	62.33	2.33	72.82	21.05	28.12	17.71	4.89	47.17	12.14	16.29	14.67	4.07	25.65	8.91	11.83	3.04	0.82	41.8
