Plant	Long	Lat	Local	Ano	Altura	DAP	N_folhas	Compri_folha	N_pinas	Compri_pina	Largura_pina	F_T	F_Casca	F_Polpa	F_Endo	F_Sem	S_T	S_Casca	S_Polpa	S_Endo	S_Sem	U_T	U_Casca	U_Polpa	U_Endo	U_Sem	OC
73	7548281	775380	1	2	9	32.2	18	2.1	38	58.67	2.17	56.91	12.64	25.9	13.38	3.99	36.89	7.8	14.13	11.56	3.4	20.02	4.84	11.77	1.82	0.59	48.27
74	7548277	775370	1	2	6.9	26.4	34	2.3	36	64.33	2.1	94.93	21.2	54.32	14.21	3.19	50.33	11.46	24.15	12.05	2.68	44.6	9.74	30.18	2.16	0.51	27.2
75	7548274	775365	1	2	6.8	32.8	26	2.78	34	63.17	1.87	79.93	13.45	46.48	12.06	3.23	49.89	9.63	26.3	11.1	2.86	30.04	3.82	20.17	0.96	0.37	26.13
76	7548272	775365	1	2	6.7	25.8	30	2.43	37	59.67	2.13	75.39	14.23	41.2	13.55	3.07	43.36	8.01	20.54	12.16	2.65	32.03	6.22	20.66	1.39	0.42	21.7
77	7548271	775382	1	2	5.6	34.4	30	2.78	33	67.33	1.9	119.69	25.6	57.53	22.92	4.87	75.44	16.38	34.52	20.36	4.17	44.26	9.22	23.01	2.56	0.7	35.17
78	7548266	775367	1	2	6.9	31.5	15	2.13	34	51	1.67	83.53	14.2	45.3	14.92	3.86	40.55	6.8	17.95	12.48	3.32	42.98	7.4	27.36	2.44	0.55	43.6
79	7548274	775394	1	2	8.8	27.7	32	2.63	34	68.33	2.47	55.9	12.78	24.42	13.37	3.32	33.95	7.61	12.06	11.52	2.76	21.95	5.18	12.36	1.85	0.56	39.07
80	7548271	775402	1	2	9.5	26.1	28	2.78	32	78	2.4	86.5	16.45	45.68	17.05	4.81	47.17	7.08	21.86	14.16	4.07	39.33	9.37	23.82	2.89	0.74	42.23
81	7548264	775373	1	2	9.1	29	26	2.3	38	60.33	2.03	62.04	12.83	31.53	11.89	2.95	35.57	7.03	15.5	10.5	2.53	26.47	5.8	16.03	1.39	0.41	35.57
82	7548261	775368	1	2	6.9	29.6	27	2.67	26	61.67	1.57	57.45	10.76	32.19	10.92	3.13	36.66	6.34	18.23	9.37	2.72	20.79	4.42	13.95	1.54	0.41	37.73
83	7548261	775368	1	2	6.3	27.4	13	2.83	28	66.67	1.9	61.01	10.91	33.22	11.26	3.11	35.36	6.01	16.88	9.89	2.58	25.65	4.89	16.34	1.38	0.54	34.13
84	7548259	775370	1	2	7.1	30.6	25	2.65	30	71.33	1.77	61.13	14.11	28.2	13.3	2.92	37.41	8.09	16.06	10.85	2.4	23.72	6.02	12.14	2.45	0.51	40.03
85	7548258	775380	1	2	9.2	29	20	2.93	31	64.67	1.57	63.23	16.96	28.72	13.35	2.36	36.85	9.68	13.98	11.18	2.02	26.38	7.29	14.74	2.17	0.33	29.33
86	7548239	775357	1	2	5	24.8	27	1.96	37	60.33	1.6	40.72	9.73	17.35	9.82	2.59	29.75	7.24	11.78	8.45	2.27	10.97	2.49	5.57	1.37	0.32	27.97
87	7548236	775351	1	2	6.5	26.8	30	1.99	30	56	2.3	97.86	22.41	48.15	20.63	4.74	55.49	12.68	22.46	16.56	3.79	42.36	9.73	25.69	4.07	0.96	30.13
88	7548234	775378	1	2	7.7	31.8	25	3.15	27	86.33	2.07	59.24	14.47	28.61	9.46	3.66	34.59	8.96	14.49	8.09	3.05	24.65	5.51	14.11	1.37	0.61	39.87
89	7548220	775362	1	2	7.5	33.8	26	2.85	34	64.33	2.2	59.28	8.89	29.3	13.25	5.1	36.07	6.21	13.78	11.74	4.34	23.2	2.68	15.53	1.52	0.75	27.25
90	7548209	775378	1	2	11.7	28	24	2.65	42	59	2.03	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
91	7548203	775374	1	2	10.2	32.8	27	2.87	39	66.33	2.1	65.6	16.46	29.36	14.44	2.89	34.61	8.6	11.76	11.92	2.33	30.99	7.86	17.6	2.52	0.56	20.67
92	7548194	775375	1	2	7	30.9	14	2.9	35	66	2.13	65.21	13.65	28.68	15.5	3.44	39.44	9.67	13.49	13.63	2.65	25.77	3.98	15.2	1.86	0.79	30.63
93	7548195	775377	1	2	6.2	28.7	10	2.39	38	56.33	1.57	77.49	17.18	38.05	16.21	3.6	42.25	8.92	16.7	13.58	3.05	35.24	8.26	21.35	2.63	0.55	31.5
94	7548185	775386	1	2	8.7	36.6	30	2.92	37	61.33	2.5	74.51	17.94	34.87	13.39	3.02	41.13	10.74	16.08	11.79	2.53	33.38	7.2	18.8	1.6	0.49	35.83
95	7548163	775380	1	2	7.8	28.3	11	2.85	35	59.33	2.27	60.92	14.2	26.11	13.59	2.45	34.77	8.35	11.98	12.4	2.05	26.15	5.85	14.13	1.19	0.4	21.45
96	7548159	775387	1	2	8.9	31.8	6	2.95	33	80.33	2.4	72.91	15.42	36.6	14.97	2.91	42.88	9.82	17.6	13.12	2.33	30.03	5.6	18.99	1.85	0.58	NA
97	7548259	775299	1	2	9.8	25.8	26	2.44	41	59	2.77	76.45	17.7	38.53	12.99	2.64	45.93	10.9	21.15	11.6	2.27	30.53	6.8	17.38	1.39	0.37	43.47
98	7548267	775285	1	2	10.1	33.1	28	2.44	32	65	2.43	96.08	18.3	51.47	18.23	6.06	54	9.56	24.07	15.22	5.16	42.08	8.74	27.4	3.01	0.9	40.4
99	7548287	775280	1	2	8.4	39.5	40	2.64	25	65.33	2.5	93.19	17.75	54.05	16.82	3.03	55.63	10.68	27.93	14.42	2.6	37.56	7.06	26.12	2.4	0.43	27.13
100	7548286	775287	1	2	11.5	22.9	22	2.27	41	43.67	1.63	70.84	14.13	36.8	13.46	3.45	42.42	8.1	19.37	11.87	3.08	28.42	6.04	17.43	1.59	0.37	36.23
101	-48.320.861	-22.149.139	2	2	7.2	37.3	36	2.64	34	73	1.83	88.05	15.81	48.23	16.99	4.03	56.56	10.73	27.27	15.08	3.48	31.49	5.08	20.96	1.91	0.55	29.87
102	-48.320.889	-22.148.944	2	2	5.6	33.1	34	2.04	36	68.33	2.6	93.31	17.48	53.31	15.78	3.74	51.68	9.37	26.18	13.02	3.11	41.63	8.1	27.13	2.76	0.63	40.93
103	-48.320.889	-22.148.917	2	2	14.4	32.5	27	2.7	35	73.33	2.2	65.36	18.92	31.16	11.58	2.67	36.28	10.25	13.81	9.97	2.24	29.08	8.67	17.35	1.6	0.43	24.97
104	-48.320.917	-22.148.944	2	2	15.7	32.5	26	2.45	36	55.83	2.2	70.91	17.68	34	17.73	5.07	41.1	9.33	15.57	13.31	2.89	29.82	8.35	18.43	4.42	2.18	40.67
105	-48.320.861	-22.148.833	2	2	7.2	30.6	29	2.09	26	82	2.77	112.08	25.46	65.1	17.7	7.03	56.33	14.88	23.36	14.14	3.94	55.75	10.58	41.73	3.56	3.09	24.53
106	-48.320.972	-22.148.833	2	2	8.7	43	36	3.08	37	67	1.83	83.98	19.6	43.29	16	3.78	50.24	10.62	23.21	13.5	2.9	33.74	8.99	20.07	2.5	0.88	41.8
107	-48.321.083	-22.148.722	2	2	7.6	28.7	24	2.68	30	63.67	2.33	106.9	19.87	61.67	18.71	5.01	62.24	11.06	31.23	15.8	4.15	44.66	8.81	30.44	2.91	0.86	30.6
108	-48.321.361	-22.148.639	2	2	12.2	30.3	30	2.15	41	64.67	1.47	101.65	21.81	48.32	21.52	4.54	49.77	10.76	20.07	16.89	2.05	51.88	11.05	28.25	4.63	2.48	29.63
109	-48.321.389	-22.148.583	2	2	5.8	36	19	2.32	39	70.33	2.1	98.98	23.65	50.29	18.78	3.93	52.44	12.92	21.37	15.51	2.63	46.54	10.73	28.92	3.27	1.3	31.9
110	-48.321.472	-22.148.639	2	2	8.5	31.8	18	2.35	44	62	1.77	67.16	19.57	29.99	13.63	2.59	44.84	13.3	17.96	11.51	2.07	22.32	6.27	12.02	2.12	0.51	34.3
111	-48.321.500	-22.148.750	2	2	9	33.1	27	2.7	40	70.33	2.3	70.01	16.1	32.99	13.92	3.69	36.7	8.67	12.24	12.52	3.26	33.3	7.43	20.74	1.39	0.42	33.37
112	-48.321.556	-22.148.722	2	2	11.6	28.7	38	2.6	37	79.67	2.23	93.82	21.92	40.44	19.27	4.01	53.36	12.89	20.35	16.64	3.48	40.46	9.03	20.09	2.63	0.53	35.53
113	-48.321.556	-22.148.722	2	2	8.1	31.2	22	3.1	33	82.67	2.37	84.23	18.78	38.03	19.08	5.09	47.73	10.07	18.06	15.33	4.26	36.5	8.71	19.97	3.75	0.83	38.9
114	-48.321.639	-22.148.667	2	2	11.2	26.4	20	2.67	35	65.67	1.3	83.89	21.41	39.57	15.15	2.91	46.7	11.77	20.17	12.32	2.43	37.19	9.63	19.4	2.83	0.48	31.1
115	-48.321.556	-22.148.583	2	2	9.4	27.1	26	2.77	35	67	1.67	82.76	18.25	36.87	20.64	4.13	52.44	10.99	20.49	17.56	3.4	30.32	7.26	16.38	3.07	0.73	40.23
116	-48.321.639	-22.148.556	2	2	8.4	27.4	20	2.64	41	73.33	2.27	83.55	21.41	38.59	17.86	3.36	51.15	13.67	19.88	14.78	2.82	32.4	7.74	18.71	3.07	0.54	23.17
117	-48.321.694	-22.148.611	2	2	8.3	37.3	30	2.66	34	54	2.3	66.38	18.24	25.48	15.54	4.14	39.67	9.99	12.53	13.66	3.5	26.71	8.25	12.95	1.89	0.64	27.1
118	-48.321.750	-22.148.556	2	2	5.5	28.7	36	2.54	34	71.33	2.23	59.71	13.79	23.67	16.14	4.13	36.3	8.18	10.89	13.91	3.33	23.41	5.61	12.78	2.22	0.8	27.53
119	-48.321.722	-22.148.500	2	2	10.2	24.8	34	2.79	29	63.67	2.23	63.93	16.76	28.35	13.12	4.11	40.55	11.09	14.97	11.02	3.47	23.38	5.67	13.39	2.09	0.64	38.8
120	-48.321.806	-22.148.500	2	2	9.1	33.4	35	2.97	37	71.33	2.13	87.71	18.21	42.15	20.92	4.45	52.04	10.67	20.68	17.05	3.64	35.67	7.54	21.47	3.86	0.82	35.5
121	-48.321.806	-22.148.472	2	2	3.5	29.3	18	1.87	40	46.67	1.7	48.55	10.15	21.9	10.74	3.17	29.3	6.7	10.45	9.51	2.64	19.26	3.45	11.45	1.23	0.53	26.33
122	-48.321.833	-22.148.556	2	2	11.5	31.8	38	2.59	35	65.67	1.97	79.77	19.61	38.93	14.99	4.34	50.19	13.01	20.78	12.78	3.62	29.58	6.6	18.15	2.21	0.71	35.53
123	-48.321.861	-22.148.556	2	2	14.3	29.9	34	NA	NA	NA	NA	75.93	17.78	37.66	15.31	4.5	47.11	11.42	18.84	13.06	3.79	28.81	6.35	18.82	2.24	0.71	34.9
124	-48.321.944	-22.148.528	2	2	11.9	24.5	40	2.84	32	87	2.1	106.95	24.41	53.67	20.12	5.21	67	14.2	30.24	18.07	4.49	39.95	10.21	23.43	2.05	0.72	32.3
125	-48.321.889	-22.148.722	2	2	3.7	43.3	20	2.54	40	72.33	2.6	69.48	19.23	32.75	13.57	3.64	35.28	9.88	10.92	11.39	3.1	34.2	9.35	21.83	2.18	0.54	39.4
126	-48.321.806	-22.148.722	2	2	8	28.7	38	2.98	25	74.67	1.7	57.39	12.88	21.16	12.29	4.1	36.33	8.53	13.49	11.17	3.15	21.06	4.36	7.67	1.12	0.96	43.1
127	-48.321.722	-22.148.750	2	2	7.3	23.6	35	2.2	43	73.33	2.37	95.65	26.04	43.81	19.97	3.53	52.09	13.93	18.56	16.72	2.89	43.56	12.12	25.25	3.26	0.64	32.4
128	-48.322.028	-22.148.917	2	2	11.3	32.2	27	2.91	35	71.67	1.43	59.11	9.91	30.79	12.98	3.29	36.14	5.66	16.24	11.29	2.95	22.97	4.25	14.55	1.7	0.34	35.7
129	-48.322.056	-22.148.944	2	2	9.2	30.6	25	2.94	35	76	2.2	83	19.67	37.02	20.87	4.07	49.63	8.98	19.78	17.54	3.33	33.37	10.69	17.24	3.33	0.74	48
130	-48.322.028	-22.148.972	2	2	9.1	28.7	19	2.55	32	64.33	1.93	75.57	16.55	34.86	18.1	4.32	46.84	8.95	18.77	15.5	3.63	28.72	7.6	16.09	2.6	0.69	43.9
131	-48.322.028	-22.148.944	2	2	8.6	23.2	23	2.87	29	78	2.2	83.85	17.64	42.95	15.61	4.58	52.39	11.25	23.51	13.88	3.75	31.46	6.4	19.44	1.73	0.83	37.37
132	-48.328.333	-22.158.333	3	2	5.9	30	23	2.59	31	57.93	2.13	43.68	9.59	18.8	9.67	2.66	28.33	6.22	11.08	8.81	2.23	15.35	3.38	7.72	0.86	0.43	40.5
133	-48.328.333	-22.158.278	3	2	7.2	27	20	2.77	30	59.93	1.87	73.26	18.33	35.38	13.57	3.21	47.49	12.18	20.56	12	2.74	25.77	6.14	14.82	1.57	0.47	44.9
134	-48.328.417	-22.158.306	3	2	8.2	28	20	2.91	32	70	2.3	72.28	13.42	35.3	16.31	2.95	46.36	8.7	20.88	14.17	2.6	25.93	4.72	14.42	2.14	0.35	31.83
135	-48.328.194	-22.158.056	3	2	8.7	28	36	2.34	29	76.3	1.93	67.1	13.21	28.53	13.33	4.47	40.49	8.69	15.94	12.2	3.66	26.61	4.52	12.59	1.12	0.8	36.07
136	-48.328.111	-22.158.056	3	2	11.6	28	31	2.43	33	72	2.1	91.26	22.48	42.64	18.1	5.5	55.57	12.8	23.09	15.1	4.58	35.69	9.68	19.56	2.99	0.92	40.77
137	-48.328.056	-22.158.056	3	2	8.4	28	28	2.4	32	48.17	1.7	66.94	13.26	34.22	12.45	3.03	38.46	8.38	16.37	11.13	2.59	28.48	4.88	17.85	1.32	0.44	34.67
138	-48.327.944	-22.157.917	3	2	8	27	26	3.26	36	67	1.8	65.87	13.38	32.28	11.81	3.39	38.64	7.8	17.04	10.89	2.91	27.23	5.59	15.24	0.92	0.48	25.37
139	-48.328.028	-22.157.917	3	2	4.5	29	20	2.84	31	66.27	1.83	68.81	13.44	28.66	19.1	3.07	45.55	9.29	16.67	16.98	2.61	23.26	4.14	12	2.11	0.46	27.7
140	-48.328.222	-22.157.917	3	2	11.2	23	40	2.66	37	67.17	1.93	58.99	14.33	25.97	14.27	2.95	36.82	9.02	13.54	11.81	2.45	22.16	5.31	12.43	2.46	0.49	30.43
141	-48.328.222	-22.157.833	3	2	9.5	27	25	3.11	32	60.33	1.77	54.83	12.29	24.7	13.43	3.04	35.99	7.63	14.59	11.25	2.52	18.84	4.67	10.11	2.19	0.52	42.97
142	-48.328.167	-22.157.778	3	2	6.1	28	23	2.6	34	62.17	1.83	64.69	13.71	32.03	13.28	4.03	38.06	7.1	16.38	11.27	3.31	26.63	6.61	15.64	2.01	0.72	34.13
143	-48.328.306	-22.157.722	3	2	7.3	28	33	2.56	32	65.63	2.13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
144	-48.328.278	-22.157.667	3	2	5.9	25	28	2.84	27	62.83	1.7	68.87	13.55	27.47	15.4	3.28	41.74	9.88	15.79	13.98	2.09	27.13	3.67	11.69	1.42	1.19	39.33
145	-48.328.194	-22.157.639	3	2	11.2	27	34	2.91	37	66.53	2.07	58.95	12.6	29.81	12.4	2.28	35.59	7.18	16.43	10.17	1.81	23.36	5.42	13.38	2.22	0.47	39.5
146	-48.328.250	-22.157.528	3	2	9.8	21	32	2.46	38	64.5	1.9	75.13	18.41	36.44	14.3	2.58	49.64	12.84	21.86	12.7	2.24	25.49	5.57	14.58	1.6	0.35	34.13
147	-48.328.250	-22.157.528	3	2	6.6	22	15	2.55	34	60.83	1.83	57.75	13.39	24.31	15.57	2.96	35.63	7.23	12.81	13.13	2.46	22.11	6.16	11.5	2.44	0.49	41.7
148	-48.328.139	-22.156.750	3	2	9.1	21	25	2.53	35	64.07	1.97	66.29	17.85	29.74	14.83	2.23	42.43	11.2	16.85	12.5	1.88	23.86	6.65	12.89	2.33	0.35	48.43
149	-48.328.083	-22.157.222	3	2	10.4	25	23	2.5	30	68.67	1.87	51.02	13.37	22.78	11.35	2.15	30.5	7.4	11.65	9.65	1.81	20.52	5.97	11.13	1.7	0.34	36.87
150	-48.327.889	-22.157.278	3	2	6.5	22	33	2.79	32	71	1.77	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
151	-48.327.361	-22.156.528	3	2	9.4	23	27	2.61	38	55.53	1.53	73.49	15.22	33.75	16.17	3.69	48.11	9.65	21.24	14.13	3.1	25.38	5.57	12.51	2.04	0.59	42.47
152	-48.327.250	-22.156.556	3	2	12.1	24	42	3	42	73.67	2.23	85.7	23.39	44.78	12.72	2.91	52.94	15.28	24.71	10.5	2.44	32.76	8.11	20.07	2.21	0.47	52.23
153	-48.327.194	-22.156.528	3	2	8.1	22	22	2.54	32	55.33	2.03	78.63	16.39	39.96	15.93	3.96	51.3	10.46	23.37	14.11	3.36	27.33	5.93	16.59	1.83	0.6	41.47
154	-48.327.028	-22.156.444	3	2	6.8	23	26	3.12	35	70.17	1.63	81.91	14.14	44.76	16.2	3.51	51.58	9.55	25.15	14.14	2.74	30.33	4.58	19.61	2.06	0.77	31.83
155	-48.327.222	-22.156.167	3	2	7.4	23.5	20	2.75	36	54	1.53	58.78	14.92	27.53	11.87	2.66	36.05	8.93	15.4	9.82	1.89	22.72	5.99	12.13	2.04	0.76	34.9
156	-48.327.333	-22.156.000	3	2	7.8	29.5	18	3	37	70	1.67	70.69	13.89	32.75	14.4	3.29	41.39	8.27	18.31	11.99	2.82	29.3	5.62	14.45	2.4	0.47	39.67
157	-48.327.333	-22.156.000	3	2	5.6	27.5	20	2.46	35	64.33	1.7	58.45	11.01	30.11	10.51	3.6	38.72	7.8	18.38	9.45	3.09	19.73	3.21	11.72	1.06	0.51	43.43
158	-48.327.417	-22.155.944	3	2	10.6	25.5	23	2.83	33	70.83	1.8	72.33	20.27	36.01	12.57	2.59	47.27	12.99	21.2	10.83	2.25	25.06	7.27	14.81	1.74	0.34	39.63
159	-48.327.389	-22.155.806	3	2	5.1	25.5	14	2.68	30	74.5	1.8	51.23	11.77	23.78	9.83	2.96	33.51	8.08	14.28	8.63	2.52	17.72	3.69	9.5	1.2	0.44	46.33
160	-48.327.306	-22.155.833	3	2	7.7	19.5	20	2.36	42	56.17	1.87	56.93	13.21	26.18	11.34	3.12	35.98	8.65	14.58	10.1	2.66	20.94	4.57	11.6	1.24	0.46	47.5
161	-48.327.250	-22.155.778	3	2	11.5	24.5	21	2.91	32	62	1.67	68.75	14.33	37.65	12.47	2.4	42.33	9.03	20.65	10.66	1.99	26.42	5.31	17	1.81	0.41	27.27
162	-48.327.111	-22.155.778	3	2	9.5	19	26	2.81	34	61.33	1.23	73.28	12.72	38.65	11.09	2.61	43.49	9.06	22.25	10.08	2.09	29.79	3.66	16.4	1	0.52	35.9
163	-48.327.056	-22.155.972	3	2	11.7	26	28	3.08	28	83	1.97	94.09	24.11	47.07	19.34	5.78	52.69	12.5	21.99	14.68	3.52	41.4	11.61	25.08	4.66	2.27	37.53
164	-48.327.083	-22.156.000	3	2	10.3	29	31	2.99	30	68	2.2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
165	-48.326.806	-22.155.917	3	2	11.3	25.5	30	2.71	28	58.33	1.7	94.15	17.7	50.75	15.75	4.51	59.41	12.72	28.62	14.17	3.91	34.74	4.98	22.13	1.58	0.6	28.53
166	-48.326.778	-22.155.889	3	2	8.1	26.5	25	2.85	28	66	1.9	59.56	10.98	27.91	13.35	3.91	37.15	7.03	15.04	11.77	3.31	22.41	3.95	12.88	1.57	0.6	32.27
167	-48.327.194	-22.155.028	3	2	7	25	21	2.42	34	56.33	1.5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
168	-48.326.694	-22.155.000	3	2	6.1	23.5	17	2.49	38	60.33	1.73	70.25	18.25	28.34	18.01	4.03	41.99	10.56	12.75	15.46	3.22	28.26	7.69	15.59	2.54	0.81	32.13
169	-48.326.694	-22.155.028	3	2	11.1	23.5	18	2.7	30	59.83	1.47	87.89	21.62	40.8	18.72	4.43	55.42	13.24	22.03	16.44	3.71	32.47	8.38	18.77	2.28	0.72	37.9
170	-48.326.778	-22.154.972	3	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
171	-48.326.889	-22.154.861	3	2	10.5	25	28	2.9	34	59	1.5	109.1	23.81	63.19	15.42	3.07	62.11	13.26	33.07	13.38	2.4	46.99	10.55	30.12	2.04	0.67	40.7
172	-48.326.500	-22.154.417	3	2	10.8	28	19	2.74	40	58.33	1.93	72.34	13.28	35.41	13.9	3.51	42.19	8.89	17.85	12.59	2.85	30.15	4.39	17.56	1.31	0.66	49
173	-48.327.111	-22.154.250	3	2	7.5	25.5	20	2.95	33	52.67	1.67	65.13	18.11	31.8	11.41	2.04	41.2	10.75	18.53	10.19	1.74	23.93	7.37	13.27	1.23	0.3	46.8
174	-48.327.111	-22.154.250	3	2	8.3	26.5	23	2.68	36	66.17	1.87	73.54	18.79	33.89	15.38	3.02	43.95	11.48	17.21	12.68	2.58	29.59	7.31	16.68	2.7	0.44	33
175	-48.327.333	-22.153.972	3	2	8.8	26	24	3.13	28	68.5	1.6	86.87	17.22	46.99	17.43	3.07	52.1	9.95	24.99	14.61	2.54	34.77	7.26	22	2.82	0.52	33.7
176	-48.327.306	-22.154.083	3	2	10.2	23	25	2.75	45	50.33	1.53	76.31	15.91	34.17	18.86	5.28	43.19	8.38	14.81	15.73	4.28	33.12	7.53	19.37	3.13	1	30.13
177	-48.326.278	-22.154.861	3	2	8.5	24.5	18	2.68	32	60.33	1.6	89.12	20.54	40.74	20.07	4.57	59.43	13.6	24.23	17.71	3.89	29.69	6.94	16.51	2.36	0.68	41.27
178	-48.326.389	-22.155.056	3	2	10.8	27	26	3.06	26	61.67	1.67	66.84	13.8	28.84	16.85	4.37	45.51	9.93	16.87	14.98	3.72	21.33	3.87	11.97	1.87	0.64	36.9
179	-48.326.278	-22.155.083	3	2	6.8	27.5	19	2.44	35	60	2	71.96	16.02	35.88	10.67	3.46	42.23	9.57	19.74	9.95	2.97	29.73	6.45	16.14	0.72	0.49	44.2
180	-48.326.194	-22.155.361	3	2	10.3	28.5	28	2.91	38	70.17	1.77	71.65	17.57	32.95	16.07	3.65	43.1	10.26	16.24	13.6	3	28.54	7.3	16.71	2.47	0.65	33.23
181	-48.325.944	-22.155.417	3	2	7.8	27.5	18	2.38	42	65.33	1.7	87.88	19.58	44.04	15.59	4.07	48.37	10.45	21.14	13.45	3.33	39.5	9.13	22.9	2.14	0.73	37.07
182	-48.325.833	-22.155.500	3	2	9.8	26.5	19	2.52	27	70	1.67	57	11	22.2	15.99	3.37	31.21	6.72	9	12.67	2.82	25.79	4.28	13.19	3.32	0.55	44.07
183	-48.325.861	-22.155.556	3	2	8.4	27.5	16	2.32	43	56.33	1.87	68.06	14.08	32.12	14.87	3.59	37.63	8.06	13.86	12.5	3.21	30.44	6.02	18.26	2.37	0.38	28.83
184	-48.326.222	-22.155.472	3	2	9.2	24	20	2.42	33	52	1.4	74.32	14.59	30.2	16.35	4.52	43.39	9.27	15.44	14.85	3.82	30.93	5.32	14.76	1.5	0.7	34.57
185	-48.321.500	-22.157.389	4	2	7.5	24.5	22	3.07	29	70.67	1.67	64.86	16.95	28.56	13.88	3.32	35.63	9.59	12.05	11.27	2.73	29.23	7.36	16.51	2.61	0.59	24.73
186	-48.321.417	-22.157.583	4	2	8.7	29	28	2.37	39	53.17	1.37	66.15	16.32	33.19	12.21	3.04	39.58	8.71	15.24	9.98	2.32	26.57	7.61	17.95	2.23	0.72	37.6
187	-48.321.639	-22.157.694	4	2	9.2	19	24	2.27	33	58.67	1.67	80.82	22.37	38.67	12.97	3.01	53.59	16.6	23	11.45	2.55	27.23	5.77	15.67	1.52	0.45	33.4
188	-48.321.694	-22.157.194	4	2	8.9	28.5	20	2.37	39	58.5	1.37	57.47	15.3	30.8	12.32	4.91	35.05	7.76	15	9.58	2.7	22.42	7.54	15.8	2.74	2.21	37.67
189	-48.321.417	-22.157.056	4	2	7.1	25.5	25	2.54	30	67	1.73	79.36	17.44	31.34	17.65	5.99	49.64	10.77	17.49	16.35	5.02	29.72	6.67	13.85	1.3	0.97	31.97
190	-48.321.417	-22.157.000	4	2	8.5	31.5	20	2.34	36	68.33	1.57	63.83	14.12	29.68	13.34	3.41	37.22	8.02	14.57	11.74	2.88	26.61	6.1	15.11	1.6	0.52	45.57
191	-48.321.500	-22.157.000	4	2	8.2	25.5	28	2.63	39	57.67	1.57	94.27	20.67	52.98	17.74	5.87	58.04	11.23	28.98	14.15	3.67	36.23	9.43	23.99	3.59	2.2	39
192	-48.321.972	-22.157.139	4	2	8	29.5	30	2.62	33	71.67	1.7	70.45	18.3	34.02	11.08	3.76	43.78	11.88	19.02	9.78	3.1	26.67	6.42	15	1.3	0.66	37.27
193	-48.322.167	-22.157.139	4	2	NA	NA	NA	NA	NA	NA	NA	55.83	11.64	29.33	13.53	4.98	35.61	6.65	15.36	10.72	2.88	20.22	4.99	13.97	2.81	2.1	36.87
194	-48.322.361	-22.157.083	4	2	11.5	27	28	2.54	40	56.67	1.43	79.92	15.83	39.68	17.23	4.05	46.44	8.95	19.11	15.08	3.3	33.48	6.88	20.57	2.15	0.75	47.47
195	-48.322.861	-22.157.139	4	2	10.3	25.5	17	2.66	35	67.83	1.7	61.81	13.48	30.31	10.45	3.23	40.58	9.41	18.76	9.6	2.81	21.23	4.07	11.55	0.85	0.42	39.83
196	-48.323.194	-22.157.111	4	2	10.4	27	36	3.14	33	73.33	1.73	64.95	10.77	34.64	12.43	3.29	33.98	5.95	14.33	10.97	2.73	30.97	4.82	20.31	1.47	0.56	40.1
197	-48.323.222	-22.156.889	4	2	8.1	25.5	23	2.51	45	51.67	1.5	67.84	15.05	33.53	13.13	3.41	38.95	8.19	16.6	11.36	2.8	28.89	6.86	16.93	1.77	0.61	34.5
198	-48.323.139	-22.156.722	4	2	10.5	27	40	2.45	37	53	1.83	63.01	8.98	33.74	12.51	3.56	39.58	6.05	19.22	11.33	2.98	23.43	2.93	14.52	1.18	0.58	38.83
199	-48.323.500	-22.157.194	4	2	6.8	29.5	28	2.79	35	70.33	1.53	73.76	17.27	34.5	14.25	4.3	44.82	10.45	18.35	12.47	3.55	28.94	6.82	16.15	1.79	0.75	47.53
200	-48.323.556	-22.157.306	4	2	8.6	26	27	2.74	31	60.33	1.57	81.77	18.42	39.3	17.45	4.52	46.59	9.88	18.8	14.28	3.62	35.19	8.54	20.5	3.16	0.9	42.6
201	-48.323.361	-22.157.500	4	2	12.5	28	24	3.94	26	73.67	2.03	118.91	26.18	70.29	15.63	3.05	74.1	18.65	39.21	13.88	2.36	44.81	7.53	31.08	1.75	0.69	32
