ID	H	DBH	LN	LL	NN	NL	NW	FM	HFM	PFM	EFM	KFM	FDM	HDM	PDM	EDM	KDM	OC
157	5.55	30.6	17.5	2.41	36	66.17	1.66	63.18	12.36	33.89	11.17	3.79	35.57	7.47	18.03	6.92	3.15	43.37
158	11.1	27.87	21	2.91	34	69.58	1.94	68.5	17.73	34.32	12.02	2.42	42.99	11.11	19.81	10.15	1.92	40.02
159	4.9	27.85	15	2.64	31	74.92	1.76	53.5	14.11	25.34	10.03	3.96	34.4	8.68	14.87	8.41	2.44	46.35
160	7.65	24.05	17	2.33	42	55.25	1.88	59.39	14.69	27.71	11.77	3.18	36.9	8.87	15.27	10.11	2.66	47.95
161	11	26.4	18	2.82	33.5	66	1.78	67.69	15.01	37.31	11.6	2.35	42.3	9.57	20.63	10	2.09	28.12
162	9.35	21.1	24	2.78	34	64.67	1.45	75.51	14.48	42.26	10.97	2.63	45.02	9.51	23.75	9.63	2.12	35.58
163	10.85	29.2	25	2.96	29	83.34	1.9	90.41	21.89	45.18	17.9	5.19	52.64	12.1	22.7	14.21	3.64	43.37
164	10.05	30.9	26	2.9	29.5	73.17	2.23	84.38	16.86	47.36	17.83	5.15	54.47	9.17	28.01	14.02	3.14	49.54
165	11.65	29.3	27	2.82	31.5	68.83	1.91	91.71	19.61	49.42	15.14	4.05	57.62	13.22	27.77	13.16	3.48	29.48
166	8.6	29.3	21.5	2.88	29	68.34	1.91	64.3	13.25	30.62	13.97	4.21	40.87	8.45	16.77	12.12	3.52	32.66
167	7.55	27.6	20.5	2.42	35	65	1.68	75.85	12.63	40.89	15.14	3.45	44.8	8.4	23.35	11.29	1.62	38.28
168	6.2	27.15	17.5	2.54	36.5	65.5	1.77	83.07	18.17	39.27	19.49	4.47	46.55	9.95	18	15.15	3.45	31.87
169	9.9	24.95	17	2.55	34.5	61.75	1.7	85.34	20.63	40.91	17.58	4.2	51.59	12.47	20.75	14.97	3.42	38.95
170	10.17	23.7	13.44	2.08	44.76	51.33	1.52	65.69	13.88	32.36	13.97	3.28	39.31	9.46	14.77	12.09	2.86	28.54
171	9.85	25.25	23	2.91	33	63.67	1.66	96.31	19.8	56.18	14.46	3.01	54.12	11.02	28.11	12.5	2.48	40.55
172	9.95	29	17.5	2.92	38.5	64	1.95	74.69	14.14	38.03	13.65	3.53	42.97	9.14	18.96	12.16	2.83	49.39
173	6.9	26.6	20	2.82	37.5	58.84	1.87	70.88	19.45	36.66	11.16	2.22	39.96	10.82	17.49	9.71	1.96	NA
174	8.15	27.25	20	2.71	36	72.25	1.87	74.9	19.51	36.05	14.19	3.35	43.71	11.56	17.66	11.69	2.81	33.55
175	8.25	29.25	21.5	2.97	29.5	72.09	1.66	86.79	17.45	48.27	15.94	3.05	47.15	9.26	23.78	12.36	1.76	31.56
176	9.85	25.5	21.5	2.85	41.5	52.67	1.76	78.66	16.77	36.79	18.61	5.3	43.97	8.63	15.92	15.3	4.26	30.52
177	8.8	24.75	16	2.64	32	61.67	1.75	90.21	21.52	43.7	18.63	4.16	56.76	12.99	24.41	15.94	3.43	38.35
178	11	29.15	21.5	3.04	31	67.84	1.85	72.48	15.2	33.91	15.95	4.26	44.51	9.44	17.66	13.86	3.56	36.95
179	7.1	28	16	2.49	36	63.5	2.06	84.01	20.52	44.73	11.32	3.45	42.39	10.43	19.27	9.9	2.8	38.1
180	10.4	30.75	25	2.83	37.5	68.92	1.88	66.4	15.72	31.3	15	3.59	42.72	9.63	17.43	12.77	2.9	38.76
181	7.7	27.25	17.5	2.46	40.5	70.67	1.9	90.23	20.44	46.66	15.34	4.09	49.15	10.7	22.25	13.02	3.31	37.46
182	9.2	27.25	18	2.59	26.5	74.17	1.82	61.62	12.06	28.76	14.77	3.16	34.31	7.15	12.75	11.93	2.48	38.73
183	8.8	28.4	16	2.49	37	61.33	1.83	70.41	14.94	34.74	14.62	3.61	38.41	8.31	14.97	12.07	3.19	31.2
184	8.75	24.25	18	2.47	33.5	59.84	1.61	76.37	16.74	35.01	15.43	4.2	46.63	10.46	19.03	13.62	3.51	33.08
185	7.65	24	20	3.09	31	68.5	1.75	77.31	17.37	40.18	15.35	4.21	47.02	10.25	20.76	12.63	3.41	26.65
186	8.6	28.15	21.5	2.54	37	62.92	1.53	72.85	17.85	37.61	12.8	3.22	42.1	9.57	17.52	10.66	2.68	37.95
187	8.9	19	21	2.69	33	65	1.78	76.58	17.32	40	13.19	3.43	47.49	NA	21.95	11.23	2.71	36.85
188	8.4	29.5	19.5	2.44	36.5	59.42	1.48	60.12	13.93	32.32	11.98	4.45	35.3	7.12	15.76	9.61	2.8	35.15
189	6.9	26.75	24	2.53	33	69.34	1.81	75.97	17.55	32.56	17.1	5.17	45.19	9.71	15.98	15.14	4.35	32.36
190	8.55	31.2	19.5	2.57	32.5	71.17	1.67	72.66	16.81	36.49	14.2	3.68	41.45	8.99	16.96	12.39	3.12	43.00
191	8.05	27.2	21.5	2.84	37	66.17	1.77	87.6	20.39	46.79	16.18	4.88	53.7	11.05	26.14	13.13	3.37	38.64
192	7.65	30.75	26	2.71	31.5	78.17	1.85	70.99	19.66	33.98	11.6	3.93	41.88	11.97	16.58	10.02	3.3	34.12
193	10.27	27.7	26.44	2.49	34.76	67.33	2.02	62.07	12.05	32.46	14.27	4.67	39.02	7.01	17.04	11.72	3.25	35.77
194	11.5	27.7	22.5	2.57	37	64.5	1.66	79.75	18.93	37.4	16.71	3.96	45.91	10.26	18.09	14.33	3.24	44.7
195	10.3	24.5	15.5	2.73	33	69.75	1.86	68.44	14.1	34.59	12.29	3.21	44.06	9.4	21.67	10.2	2.79	39.06
196	10.45	28.15	28.5	3.12	32.5	73.5	1.78	74.11	14.21	40.3	13.37	3.4	39.63	7.48	17.73	11.63	2.79	40.2
197	7.85	25.95	19	2.7	40	63.67	1.53	74.17	17.66	36.97	14.01	3.47	43.52	9.94	18.96	11.81	2.82	36.52
198	10.25	26.45	29	2.53	36	56.5	1.83	76.01	10.4	44.77	13.78	3.75	46.95	6.91	24.85	12.02	3.18	38.68
199	7.75	28	24	2.79	35.5	72.17	1.68	75.46	18.63	36.65	14.42	4.24	44.74	10.68	18.71	12.1	3.26	NA
200	8.7	27.45	23	2.64	35	58.17	1.62	84.12	19.28	41.92	17.2	4.54	47.37	10.13	19.91	13.85	3.6	42.99
201	12	28.95	23.5	3.63	25.5	80.34	2.53	119.52	24.59	73.49	15.78	3.21	74.7	17.8	40.74	13.68	2.49	34.05
